Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Pathway,UP or DOWN
Aldosterone Renal Effects,Mar-17,0.0181384,0.71845842,0,0,6.176865672,24.76752517,SCNN1G;SCNN1B;WNK4,Elsevier_Pathway_Collection,DOWN
Aldosterone Signaling in Arterial Hypertension,Mar-17,0.0181384,0.71845842,0,0,6.176865672,24.76752517,SCNN1G;SCNN1B;WNK4,Elsevier_Pathway_Collection,DOWN
Proteins Involved in Osteoporosis,8/100,0.01954849,0.71845842,0,0,2.515201046,9.896956552,IL10;OXTR;CALCA;PAPPA;SPP1;TNFSF11;NFATC1;PTH1R,Elsevier_Pathway_Collection,DOWN
Myeloblast -> Neutrophil Surface Expression Markers,Jun-64,0.02042576,0.71845842,0,0,2.98852298,11.62821881,ADGRE1;PTPRC;FLT3;CD300A;ITGAL;CD22,Elsevier_Pathway_Collection,DOWN
Omega-3-Fatty Acid Metabolism,02-Jul,0.02121869,0.71845842,0,0,11.51833085,44.37866246,ELOVL5;FADS1,Elsevier_Pathway_Collection,DOWN
Epigenetic Alterations Triggers Genomic Instability,Mar-18,0.0212325,0.71845842,0,0,5.764776119,22.2071995,DHFR;DNMT3B;FOLR1,Elsevier_Pathway_Collection,DOWN
Cortisol Signaling in Arterial Hypertension,Mar-18,0.0212325,0.71845842,0,0,5.764776119,22.2071995,SCNN1G;SCNN1B;ATP1B1,Elsevier_Pathway_Collection,DOWN
Lipid Metabolism Impairement in non-Alcoholic Fatty Liver Disease,Apr-32,0.02164517,0.71845842,0,0,4.121076233,15.79597391,ACLY;FASN;IRS2;ACACA,Elsevier_Pathway_Collection,DOWN
Proteins with Altered Expression in Cancer Immune Escape,May-48,0.0221031,0.71845842,0,0,3.356774822,12.79615069,CD86;IL10;LAG3;LGALS1;B2M,Elsevier_Pathway_Collection,DOWN
Ions Reabsorption Dysregulation in Nephrolithiasis,Mar-19,0.02459664,0.71845842,0,0,5.404197761,20.0233387,CALCA;SLC20A1;PTH1R,Elsevier_Pathway_Collection,DOWN
Proteins Involved in Arterial Hypertension,15/255,0.0262802,0.71845842,0,0,1.812974924,6.597305865,IL10;CALCA;WNK4;ADRB2;AGER;ADRA1A;HSD11B2;SCNN1G;EDNRB;LGALS1;SCNN1B;BCL2;PDE4B;CD36;KCNN4,Elsevier_Pathway_Collection,DOWN
P2RY2/12/13/14 -> N-Type Calcium Channel,02-Aug,0.02766778,0.71845842,0,0,9.59811227,34.4331005,P2RY13;P2RY14,Elsevier_Pathway_Collection,DOWN
Androgen Receptor/FKBP5 Signaling,02-Aug,0.02766778,0.71845842,0,0,9.59811227,34.4331005,BCL2;FKBP5,Elsevier_Pathway_Collection,DOWN
Syndromic Forms in Hirschsprung Disease,02-Aug,0.02766778,0.71845842,0,0,9.59811227,34.4331005,EDNRB;SOX10,Elsevier_Pathway_Collection,DOWN
PDGFR -> FOXO3A Signaling,02-Aug,0.02766778,0.71845842,0,0,9.59811227,34.4331005,PDGFRA;PDGFC,Elsevier_Pathway_Collection,DOWN
P2RY11/13/14 -> IL8/10 Production,Mar-20,0.02823049,0.71845842,0,0,5.086040386,18.14370028,IL10;P2RY13;P2RY14,Elsevier_Pathway_Collection,DOWN
Li-Fraumeni Syndrome,Mar-20,0.02823049,0.71845842,0,0,5.086040386,18.14370028,BCL2;MDM2;CDC25A,Elsevier_Pathway_Collection,DOWN
MEN1 Mutation in Hyperparathyroidism,Mar-21,0.0321327,0.71845842,0,0,4.803233831,16.51294642,CDK6;CDC7;MEN1,Elsevier_Pathway_Collection,DOWN
Sonic Hedgehog Signaling in Neuroblastoma,Mar-21,0.0321327,0.71845842,0,0,4.803233831,16.51294642,PDGFRA;IGF2;BCL2,Elsevier_Pathway_Collection,DOWN
Adrenoceptors Physiological Effects,02-Sep,0.03479079,0.71845842,0,0,8.226527571,27.62799108,ADRB2;ADRA1A,Elsevier_Pathway_Collection,DOWN
Do not Eat me\xc2\x9d Signal: Viable Cells Inhibits Phagocytosis,02-Sep,0.03479079,0.71845842,0,0,8.226527571,27.62799108,PECAM1;LCP2,Elsevier_Pathway_Collection,DOWN
Estrogen Deficiency in Female Obesity,02-Sep,0.03479079,0.71845842,0,0,8.226527571,27.62799108,FASN;ACACA,Elsevier_Pathway_Collection,DOWN
PDGFR -> STAT Signaling,02-Sep,0.03479079,0.71845842,0,0,8.226527571,27.62799108,PDGFRA;PDGFC,Elsevier_Pathway_Collection,DOWN
Proteins with Altered Expression in Cancer-Associated Sustaining of Proliferative Signaling,11/175,0.0348689,0.71845842,0,0,1.941575787,6.516238758,PDGFRA;CDK6;ERBB4;PDGFC;IGF2;MDM2;PECAM1;IRS2;MYBL2;CDC25A;EPHA2,Elsevier_Pathway_Collection,DOWN
Proteins Involved in Cholesteatoma,Apr-37,0.03488457,0.71845842,0,0,3.495764823,11.73077543,ERBB4;SPP1;LCN2;TNFSF11,Elsevier_Pathway_Collection,DOWN
Genes with Mutations in Cancer-Associated Sustaining of Proliferative Signaling,8/112,0.03540319,0.71845842,0,0,2.223597455,7.428935311,PDGFRA;CDK6;FLT3;ERBB4;MDM2;IRS2;MYBL2;EPHA2,Elsevier_Pathway_Collection,DOWN
G1/S Damage Checkpoint,Mar-22,0.03630104,0.71845842,0,0,4.550196386,15.0880366,CDK6;MDM2;CDC25A,Elsevier_Pathway_Collection,DOWN
Proteins Involved in Spontaneous Abortion,Jul-93,0.03731185,0.71845842,0,0,2.351543404,7.732919483,CD86;IL10;CD72;PTPRC;IGF2;LIF;CCR5,Elsevier_Pathway_Collection,DOWN
Scavenger Receptors in Platelet Activation,Mar-23,0.04073244,0.71845842,0,0,4.322462687,13.8350378,SCARB1;LCP2;CD36,Elsevier_Pathway_Collection,DOWN
APC/C-FZR1 Complex,Mar-23,0.04073244,0.71845842,0,0,4.322462687,13.8350378,CDC23;CDC25A;ANAPC11,Elsevier_Pathway_Collection,DOWN
Macroautophagy Decline,Mar-23,0.04073244,0.71845842,0,0,4.322462687,13.8350378,BECN1;BCL2;ATG7,Elsevier_Pathway_Collection,DOWN
beta-Cell Function Inhibition by Ciclosporine and Tacrolimus (Rodent Model),Mar-23,0.04073244,0.71845842,0,0,4.322462687,13.8350378,BCL2;IRS2;NFATC1,Elsevier_Pathway_Collection,DOWN
Hypoxia-Induced Cell Death Evasion in Cancer,Mar-23,0.04073244,0.71845842,0,0,4.322462687,13.8350378,BECN1;BCL2;MDM2,Elsevier_Pathway_Collection,DOWN
MHC1-Mediated Antigen Presentation,02-Oct,0.04253521,0.71845842,0,0,7.197839046,22.72662255,CD8A;B2M,Elsevier_Pathway_Collection,DOWN
Vasodilation Activation,02-Oct,0.04253521,0.71845842,0,0,7.197839046,22.72662255,PTGIR;ADRB2,Elsevier_Pathway_Collection,DOWN
Bone Resorption by Osteoclasts in Osteoporosis,02-Oct,0.04253521,0.71845842,0,0,7.197839046,22.72662255,TNFSF11;NFATC1,Elsevier_Pathway_Collection,DOWN
Omega-6-Fatty Acid Metabolism,02-Oct,0.04253521,0.71845842,0,0,7.197839046,22.72662255,ELOVL5;FADS1,Elsevier_Pathway_Collection,DOWN
FcIgER -> NFATC1 Signaling,02-Oct,0.04253521,0.71845842,0,0,7.197839046,22.72662255,LCP2;NFATC1,Elsevier_Pathway_Collection,DOWN
Alveolar Epithelial Cell Autophagy in COPD,Mar-24,0.0454231,0.753536857,0,0,4.11641791,12.72687084,BECN1;BCL2;ATG7,Elsevier_Pathway_Collection,DOWN
Megakaryocyte -> Platelet Precursor Cell Surface Expression Markers,Apr-41,0.0482128,0.779207374,0,0,3.117197915,9.451751895,PTGIR;FLT3;S1PR1;CD36,Elsevier_Pathway_Collection,DOWN
MP:0004047 abnormal milk composition,Sep-22,1.76E-08,4.41E-05,0,0,20.13739574,359.5421853,LAO1;BTN1A1;CSN3;PLIN2;THRSP;CSN2;CSN1S1;LALBA;JCHAIN,MGI_Mammalian_Phenotype_Level_4_2019,DOWN
MP:0005591 decreased vasodilation,Jul-29,3.87E-05,0.048404159,0,0,9.222972973,93.70050153,DHFR;SLC4A7;RGS2;EDNRB;PECAM1;IRS2;KCNN4,MGI_Mammalian_Phenotype_Level_4_2020,DOWN
MP:0002933 joint inflammation,May-15,9.64E-05,0.080356593,0,0,14.45883234,133.7024821,CLEC4A2;PECAM1;NLRP3;TACR1;MEFV,MGI_Mammalian_Phenotype_Level_4_2021,DOWN
MP:0001800 abnormal humoral immune response,13/117,0.00015748,0.098463764,0,0,3.640719697,31.87893623,CD86;CD83;RGS13;CD180;TACR1;ITGAL;FLI1;GGTA1;JCHAIN;PTPRC;HCLS1;CD22;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2022,DOWN
MP:0011230 abnormal folic acid level,03-May,0.00036056,0.175837946,0,0,43.26492537,342.9974936,DHFR;MTHFS;FOLR1,MGI_Mammalian_Phenotype_Level_4_2023,DOWN
MP:0004875 increased mean systemic arterial blood pressure,Jul-42,0.00045782,0.175837946,0,0,5.793393393,44.54554919,SLC4A7;KCNK6;CALCA;EDNRB;P2RX4;P2RY14;KCNN4,MGI_Mammalian_Phenotype_Level_4_2024,DOWN
MP:0001790 abnormal immune system physiology,13/134,0.00059807,0.175837946,0,0,3.126446281,23.20384575,IL10;CLEC4A2;EBI3;NFATC1;AGER;HCK;PTPRC;ITGAD;SPP1;TNFSF11;CLEC4G;CD22;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2025,DOWN
"MP:0008078 increased CD8-positive, alpha-beta T cell number",13/134,0.00059807,0.175837946,0,0,3.126446281,23.20384575,HELLS;LAG3;ITGAL;H2-AA;CDK6;PTPRC;ITGAD;CD8A;CENPJ;RAC2;S1PR1;CLEC4G;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2026,DOWN
MP:0002926 aganglionic megacolon,03-Jun,0.00070307,0.175837946,0,0,28.84179104,209.3929405,EDNRB;AEBP2;SOX10,MGI_Mammalian_Phenotype_Level_4_2027,DOWN
MP:0011478 abnormal urine catecholamine level,03-Jun,0.00070307,0.175837946,0,0,28.84179104,209.3929405,FTO;CALCA;PRKAA2,MGI_Mammalian_Phenotype_Level_4_2028,DOWN
MP:0008719 impaired neutrophil recruitment,Jul-47,0.00092301,0.209857913,0,0,5.067905405,35.4138907,FCGR3;ALOX5AP;PDE4B;CHIL1;LY96;ST3GAL6;PIK3R5,MGI_Mammalian_Phenotype_Level_4_2029,DOWN
MP:0000921 demyelination,Sep-77,0.00109881,0.215410054,0,0,3.838833274,26.15600259,CD86;CX3CR1;TENM4;CD8A;STMN1;KIF14;LPIN1;SOX10;NDRG1,MGI_Mammalian_Phenotype_Level_4_2030,DOWN
MP:0004872 absent nasal septum,03-Jul,0.00119962,0.215410054,0,0,21.63022388,145.4795524,HHAT;TCOF1;GPC6,MGI_Mammalian_Phenotype_Level_4_2031,DOWN
MP:0008396 abnormal osteoclast differentiation,Sep-78,0.00120581,0.215410054,0,0,3.783001572,25.42404203,FBLIM1;CAMK4;IGF2;LIF;NLRP3;ADAM8;ADRB2;HCST;FOSL2,MGI_Mammalian_Phenotype_Level_4_2032,DOWN
MP:0002442 abnormal leukocyte physiology,Jul-50,0.00134385,0.224065029,0,0,4.713597318,31.16731744,CX3CR1;NINJ1;PECAM1;SPP1;ITGAL;CCR5;PIRB,MGI_Mammalian_Phenotype_Level_4_2033,DOWN
MP:0005090 increased double-negative T cell number,Aug-65,0.00146668,0.226541834,0,0,4.067009629,26.53624755,HELLS;CDK6;PTPRC;DNMT3B;BCL2;LCP2;NFATC1;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2034,DOWN
MP:0009542 decreased thymocyte apoptosis,Apr-16,0.00167399,0.226541834,0,0,9.623816642,61.52066722,KLF13;CDK6;LCN2;MDM2,MGI_Mammalian_Phenotype_Level_4_2035,DOWN
MP:0010249 lactation failure,Apr-16,0.00167399,0.226541834,0,0,9.623816642,61.52066722,OXTR;ELF5;TNFSF11;CSN3,MGI_Mammalian_Phenotype_Level_4_2036,DOWN
MP:0000183 decreased circulating LDL cholesterol level,Sep-82,0.00172103,0.226541834,0,0,3.574971117,22.75409273,FTO;HELLS;P2RY13;STARD4;ABCA8B;SOAT2;SLC25A21;LPIN1;ACTB,MGI_Mammalian_Phenotype_Level_4_2037,DOWN
MP:0005618 decreased urine potassium level,Apr-17,0.00213128,0.261540951,0,0,8.883063125,54.63999763,CLN3;HSD11B2;SCNN1G;WNK4,MGI_Mammalian_Phenotype_Level_4_2038,DOWN
MP:0005671 abnormal response to transplant,May-28,0.00219607,0.261540951,0,0,6.282218172,38.45400965,CX3CR1;CD8A;CYTIP;GGTA1;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2039,DOWN
MP:0011968 decreased threshold for auditory brainstem response,May-29,0.00258112,0.263016955,0,0,6.020147206,35.87726758,PPIP5K2;DOK7;PLOD3;ATP2B2;IQGAP2,MGI_Mammalian_Phenotype_Level_4_2040,DOWN
MP:0006413 increased T cell apoptosis,May-29,0.00258112,0.263016955,0,0,6.020147206,35.87726758,DUSP5;CDK6;PTPRC;BCL2;CHIL1,MGI_Mammalian_Phenotype_Level_4_2041,DOWN
MP:0000187 abnormal triglyceride level,Apr-18,0.00266797,0.263016955,0,0,8.24813154,48.88202085,APOBEC1;FABP3;CD36;LPIN1,MGI_Mammalian_Phenotype_Level_4_2042,DOWN
MP:0005095 decreased T cell proliferation,13/158,0.00269409,0.263016955,0,0,2.605705329,15.41715863,CD86;IL10;CD83;LIF;ITGAL;FYB;CDK6;PTPRC;ITGAD;RAC2;HCLS1;LCP2;CCR5,MGI_Mammalian_Phenotype_Level_4_2043,DOWN
MP:0002412 increased susceptibility to bacterial infection,17/236,0.00273428,0.263016955,0,0,2.261081412,13.34464512,IL10;CAR2;ST6GAL1;NCF4;LY96;PLA2G7;JCHAIN;NAIP5;ITGAD;LAO1;RAC2;SPP1;LCN2;CD36;HC;LCP1;CCR5,MGI_Mammalian_Phenotype_Level_4_2044,DOWN
MP:0002444 abnormal T cell physiology,11/126,0.00354456,0.328331349,0,0,2.775935899,15.66277704,DUSP5;LAG3;PTPRC;BCL2;NFATC1;LCP2;KCNN4;PIRB;FYB;H2-AB1;MYO1G,MGI_Mammalian_Phenotype_Level_4_2045,DOWN
MP:0009713 enhanced conditioned place preference behavior,03-Oct,0.00381316,0.340597276,0,0,12.35820896,68.82652283,RPS6KA5;HOMER2;OPRM1,MGI_Mammalian_Phenotype_Level_4_2046,DOWN
MP:0008660 increased interleukin-10 secretion,May-32,0.00402862,0.347434029,0,0,5.350410291,29.50393106,ZC3H12D;CD300A;RGS16;SPP1;MEFV,MGI_Mammalian_Phenotype_Level_4_2047,DOWN
"MP:0005010 abnormal CD8-positive, alpha beta T cell morphology",May-33,0.00461884,0.372635975,0,0,5.159056886,27.74340622,DUSP5;PTPRC;CD8A;BCL2;CCR5,MGI_Mammalian_Phenotype_Level_4_2048,DOWN
MP:0004977 increased B-1 B cell number,May-33,0.00461884,0.372635975,0,0,5.159056886,27.74340622,CD72;PTPRC;RAC2;PIRB;CD22,MGI_Mammalian_Phenotype_Level_4_2049,DOWN
MP:0004119 hypokalemia,03-Nov,0.00511293,0.377666278,0,0,10.81287313,57.04852782,CAR2;SCNN1B;WNK4,MGI_Mammalian_Phenotype_Level_4_2050,DOWN
MP:0002459 abnormal B cell physiology,10/114,0.00513421,0.377666278,0,0,2.787881425,14.69723621,CD72;BCL2;S1PR1;HCLS1;NFATC1;PIRB;CD22;H2-AB1;JCHAIN;MYO1G,MGI_Mammalian_Phenotype_Level_4_2051,DOWN
MP:0008566 increased interferon-gamma secretion,10/114,0.00513421,0.377666278,0,0,2.787881425,14.69723621,CD86;IL10;LGALS1;RHBDD3;EBI3;PECAM1;NLRP3;MEFV;CCR5;HCST,MGI_Mammalian_Phenotype_Level_4_2052,DOWN
MP:0010875 increased bone volume,Apr-22,0.00573327,0.403031181,0,0,6.413884737,33.10507137,CAMK4;TNFSF11;ADRB2;HCST,MGI_Mammalian_Phenotype_Level_4_2053,DOWN
MP:0000685 abnormal immune system morphology,Jun-49,0.00580133,0.403031181,0,0,4.034168962,20.77463219,BECN1;CLEC4A2;EBI3;TNFSF11;CD22;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2054,DOWN
MP:0005006 abnormal osteoblast physiology,Jun-50,0.00640917,0.433225085,0,0,3.942278861,19.90861026,CALCA;SPP1;TNFSF11;PLEKHO1;PTH1R;ADRB2,MGI_Mammalian_Phenotype_Level_4_2055,DOWN
MP:0008245 abnormal alveolar macrophage morphology,03-Dec,0.00664829,0.437562465,0,0,9.610945274,48.18347054,HCK;LYZ2;LIPA,MGI_Mammalian_Phenotype_Level_4_2056,DOWN
MP:0001541 abnormal osteoclast physiology,Jul-67,0.00716949,0.440466767,0,0,3.3751001,16.66597914,PTPRC;FBLIM1;SPP1;LIF;ADRB2;HCST;FOSL2,MGI_Mammalian_Phenotype_Level_4_2057,DOWN
MP:0008553 increased circulating tumor necrosis factor level,Jul-67,0.00716949,0.440466767,0,0,3.3751001,16.66597914,IL10;HCK;FLT3;LIF;NLRP3;ITGAL;MEFV,MGI_Mammalian_Phenotype_Level_4_2058,DOWN
MP:0002463 abnormal neutrophil physiology,9/102,0.00745737,0.440466767,0,0,2.803245239,13.73184488,HCK;ST6GAL1;FCGR3;CSF3R;NCF4;RAC2;PILRA;LCP1;ITGAL,MGI_Mammalian_Phenotype_Level_4_2059,DOWN
MP:0002947 increased hemangioma incidence,Mar-13,0.00842896,0.440466767,0,0,8.649402985,41.31025321,PTH1R;IQGAP2;ACTB,MGI_Mammalian_Phenotype_Level_4_2060,DOWN
MP:0001044 abnormal enteric nervous system morphology,Mar-13,0.00842896,0.440466767,0,0,8.649402985,41.31025321,EDNRB;PDS5A;SOX10,MGI_Mammalian_Phenotype_Level_4_2061,DOWN
MP:0002667 decreased circulating aldosterone level,Mar-13,0.00842896,0.440466767,0,0,8.649402985,41.31025321,HSD11B2;SCNN1B;WNK4,MGI_Mammalian_Phenotype_Level_4_2062,DOWN
MP:0002494 increased IgM level,10/123,0.00866703,0.440466767,0,0,2.564636474,12.177481,CD72;RGS13;LY86;EFHD2;RAC2;NFATC1;B2M;CD22;GGTA1;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2063,DOWN
MP:0005087 decreased acute inflammation,Apr-25,0.00915645,0.440466767,0,0,5.496761335,25.79793271,PTGIR;EDNRB;ALOX5AP;SPP1,MGI_Mammalian_Phenotype_Level_4_2064,DOWN
MP:0000249 abnormal blood vessel physiology,Apr-25,0.00915645,0.440466767,0,0,5.496761335,25.79793271,RGS2;PTGIR;P2RX4;SPP1,MGI_Mammalian_Phenotype_Level_4_2065,DOWN
MP:0000717 abnormal lymphocyte cell number,Apr-25,0.00915645,0.440466767,0,0,5.496761335,25.79793271,FOXQ1;IL10;ITGAD;NFATC1,MGI_Mammalian_Phenotype_Level_4_2066,DOWN
MP:0002144 abnormal B cell differentiation,9/106,0.00950819,0.440466767,0,0,2.68708856,12.51001421,PTPRC;CD72;FLT3;RGS13;BCL2;MDM2;ARID3A;FLI1;CD22,MGI_Mammalian_Phenotype_Level_4_2067,DOWN
MP:0003812 abnormal hair medulla,Mar-14,0.01046285,0.440466767,0,0,7.862686567,35.85325393,FOXQ1;KRT17;SGK3,MGI_Mammalian_Phenotype_Level_4_2068,DOWN
MP:0005407 hyperalgesia,Mar-14,0.01046285,0.440466767,0,0,7.862686567,35.85325393,SCN10A;ADORA1;TACR1,MGI_Mammalian_Phenotype_Level_4_2069,DOWN
MP:0000131 abnormal long bone epiphysis morphology,Apr-26,0.01053878,0.440466767,0,0,5.246636771,23.88633024,HELLS;CST10;NLRP3;FOSL2,MGI_Mammalian_Phenotype_Level_4_2070,DOWN
MP:0008108 abnormal small intestinal villus morphology,Apr-26,0.01053878,0.440466767,0,0,5.246636771,23.88633024,CX3CR1;BCL2;LIPA;TNS3,MGI_Mammalian_Phenotype_Level_4_2071,DOWN
MP:0003628 abnormal leukocyte adhesion,May-40,0.01056485,0.440466767,0,0,4.125748503,18.77307513,NINJ1;PILRA;ITGAL;CCR5;FYB,MGI_Mammalian_Phenotype_Level_4_2072,DOWN
MP:0000716 abnormal immune system cell morphology,May-40,0.01056485,0.440466767,0,0,4.125748503,18.77307513,KLF13;PTPRC;PIRB;CLEC4G;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2073,DOWN
MP:0020416 decreased fibroblast chemotaxis,02-May,0.01056698,0.440466767,0,0,19.19920517,87.35679913,SPP1;AGER,MGI_Mammalian_Phenotype_Level_4_2074,DOWN
MP:0000794 abnormal parietal lobe morphology,02-May,0.01056698,0.440466767,0,0,19.19920517,87.35679913,ATP7B;MAP1B,MGI_Mammalian_Phenotype_Level_4_2075,DOWN
MP:0010995 abnormal lung alveolus development,02-May,0.01056698,0.440466767,0,0,19.19920517,87.35679913,HIF3A;SAFB,MGI_Mammalian_Phenotype_Level_4_2076,DOWN
MP:0004202 pulmonary hyperplasia,02-May,0.01056698,0.440466767,0,0,19.19920517,87.35679913,HCK;PDGFRA,MGI_Mammalian_Phenotype_Level_4_2077,DOWN
MP:0000394 absent hair follicle melanin granules,02-May,0.01056698,0.440466767,0,0,19.19920517,87.35679913,BCL2;SOX10,MGI_Mammalian_Phenotype_Level_4_2078,DOWN
MP:0000691 enlarged spleen,20/338,0.01086102,0.445301701,0,0,1.830833983,8.280084576,SCARB1;LAG3;KLF13;PRKAA2;SLC20A1;FLT3;LYZ2;MEFV;ITGAL;LIPA;TSPAN33;FLI1;DHFR;PTPRC;PSTPIP2;BCL2;MDM2;TNFSF11;NLRP3;KCNN4,MGI_Mammalian_Phenotype_Level_4_2079,DOWN
MP:0008500 increased IgG2a level,Jul-73,0.01131409,0.45639589,0,0,3.067317317,13.74681508,IL10;CLEC4A2;PTPRC;PSTPIP2;EFHD2;NFATC1;CD22,MGI_Mammalian_Phenotype_Level_4_2080,DOWN
MP:0005634 decreased circulating sodium level,Apr-27,0.01204907,0.473821013,0,0,5.018262169,22.1745341,FAM49B;SCNN1G;SCNN1B;WNK4,MGI_Mammalian_Phenotype_Level_4_2081,DOWN
MP:0009923 decreased transitional stage T1 B cell number,Mar-15,0.01275618,0.473821013,0,0,7.207089552,31.43544726,CTTNBP2;ARID3A;CD22,MGI_Mammalian_Phenotype_Level_4_2082,DOWN
MP:0004919 abnormal positive T cell selection,Mar-15,0.01275618,0.473821013,0,0,7.207089552,31.43544726,PTPRC;CD8A;LCP2,MGI_Mammalian_Phenotype_Level_4_2083,DOWN
MP:0008664 decreased interleukin-12 secretion,Apr-28,0.01369124,0.473821013,0,0,4.808918784,20.63506443,FLT3;SPP1;CD36;H2-AB1,MGI_Mammalian_Phenotype_Level_4_2084,DOWN
MP:0000715 decreased thymocyte number,9/113,0.01408465,0.473821013,0,0,2.505314527,10.67932899,CDK6;PTPRC;KLF13;BCL2;MDM2;DNMT3B;LCP2;FLI1;FYB,MGI_Mammalian_Phenotype_Level_4_2085,DOWN
MP:0004883 abnormal vascular wound healing,Jun-60,0.01525025,0.473821013,0,0,3.210561386,13.43029095,CX3CR1;SCARB1;STMN1;SPP1;IRS2;AGER,MGI_Mammalian_Phenotype_Level_4_2086,DOWN
MP:0008189 increased transitional stage B cell number,Mar-16,0.01531361,0.473821013,0,0,6.652353617,27.80027297,PTPRC;CD36;FLI1,MGI_Mammalian_Phenotype_Level_4_2087,DOWN
MP:0000708 thymus hyperplasia,Apr-29,0.01546887,0.473821013,0,0,4.61632287,19.2451072,IL10;KLF13;LCN2;H2-AA,MGI_Mammalian_Phenotype_Level_4_2088,DOWN
MP:0005408 hypopigmentation,Apr-29,0.01546887,0.473821013,0,0,4.61632287,19.2451072,ATP7B;AEBP2;BCL2;SLC24A5,MGI_Mammalian_Phenotype_Level_4_2089,DOWN
MP:0004003 abnormal vascular endothelial cell physiology,Apr-29,0.01546887,0.473821013,0,0,4.61632287,19.2451072,SLC4A7;P2RX4;PTAFR;PIEZO1,MGI_Mammalian_Phenotype_Level_4_2090,DOWN
MP:0008207 decreased B-2 B cell number,Apr-29,0.01546887,0.473821013,0,0,4.61632287,19.2451072,CD72;PTPRC;ARID3A;CD22,MGI_Mammalian_Phenotype_Level_4_2091,DOWN
MP:0030018 increased cardiac cell glucose uptake,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,FABP3;CD36,MGI_Mammalian_Phenotype_Level_4_2092,DOWN
MP:0001980 abnormal chemically-elicited antinociception,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,CALCA;OPRM1,MGI_Mammalian_Phenotype_Level_4_2093,DOWN
MP:0013818 abnormal oral cavity morphology,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,HHAT;SH3PXD2A,MGI_Mammalian_Phenotype_Level_4_2094,DOWN
MP:0009917 abnormal hyoid bone body morphology,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,SH3PXD2A;TNFSF11,MGI_Mammalian_Phenotype_Level_4_2095,DOWN
MP:0003028 alkalosis,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,SCNN1B;WNK4,MGI_Mammalian_Phenotype_Level_4_2096,DOWN
MP:0009818 abnormal thromboxane level,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,PTGIR;ALOX5AP,MGI_Mammalian_Phenotype_Level_4_2097,DOWN
MP:0011195 increased hair follicle apoptosis,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,KRT17;SGK3,MGI_Mammalian_Phenotype_Level_4_2098,DOWN
MP:0005190 osteomyelitis,02-Jun,0.01549895,0.473821013,0,0,14.39865872,59.99897034,PSTPIP2;NLRP3,MGI_Mammalian_Phenotype_Level_4_2099,DOWN
MP:0008596 increased circulating interleukin-6 level,Jul-78,0.01590859,0.473821013,0,0,2.850568879,11.80390889,IL10;SCARB1;RHBDD3;FLT3;LIF;NLRP3;MEFV,MGI_Mammalian_Phenotype_Level_4_2100,DOWN
MP:0008499 increased IgG1 level,Jul-78,0.01590859,0.473821013,0,0,2.850568879,11.80390889,IL10;CLEC4A2;PSTPIP2;RGS13;EFHD2;CCR5;CD22,MGI_Mammalian_Phenotype_Level_4_2101,DOWN
MP:0004952 increased spleen weight,10/136,0.01673342,0.473821013,0,0,2.298474946,9.401560288,CD72;ITGAD;SLC20A1;TMPRSS6;P2RY14;LCN2;TNFSF11;KCNN4;LIPA;HCST,MGI_Mammalian_Phenotype_Level_4_2102,DOWN
MP:0000240 extramedullary hematopoiesis,9/117,0.01733809,0.473821013,0,0,2.412023092,9.780389917,DHFR;PTPRC;RBM15;FLT3;PSTPIP2;TMPRSS6;TNFSF11;FAM20C;TSPAN33,MGI_Mammalian_Phenotype_Level_4_2103,DOWN
MP:0005282 decreased fatty acid level,Apr-30,0.01738519,0.473821013,0,0,4.438542026,17.98557963,P2RY13;FABP3;CD36;LPIN1,MGI_Mammalian_Phenotype_Level_4_2104,DOWN
MP:0008641 increased circulating interleukin-1 beta level,Apr-30,0.01738519,0.473821013,0,0,4.438542026,17.98557963,IL10;LIF;NLRP3;MEFV,MGI_Mammalian_Phenotype_Level_4_2105,DOWN
MP:0000219 increased neutrophil cell number,12/178,0.01752375,0.473821013,0,0,2.095510636,8.474660492,ST6GAL1;FCGR3;AKNA;PTPRC;CD300A;LCN2;RAC2;NLRP3;PILRA;MEFV;ITGAL;PIK3R5,MGI_Mammalian_Phenotype_Level_4_2106,DOWN
MP:0002239 abnormal nasal septum morphology,Mar-17,0.0181384,0.473821013,0,0,6.176865672,24.76752517,SH3PXD2A;TCOF1;PDGFC,MGI_Mammalian_Phenotype_Level_4_2107,DOWN
